episode,total_reward,steps,recovered,final_rom,final_strength,final_pain,final_stage,epsilon,mean_loss
1,-0.825,50,False,83.4,46.8,10.0,2,1.0,0.0
2,-1.018,50,False,58.7,69.4,10.0,3,1.0,0.0
3,2.117,14,True,85.0,86.2,7.4,4,1.0,0.0
4,-0.927,50,False,56.7,87.4,10.0,3,1.0,0.0
5,1.542,28,True,87.7,85.7,10.0,4,1.0,0.0
6,0.542,50,False,83.1,30.2,10.0,2,1.0,0.0
7,7.393,50,False,63.0,62.3,1.6,3,1.0,0.0
8,-0.765,50,True,94.8,77.8,8.8,4,1.0,0.0
9,0.809,37,True,86.5,85.2,10.0,4,1.0,0.0
10,1.087,36,True,88.3,86.4,10.0,4,1.0,0.0
11,4.579,27,True,85.3,90.9,2.6,4,1.0,0.0
12,0.133,39,True,77.9,93.8,9.8,4,1.0,0.0
13,0.804,41,True,97.4,74.6,10.0,4,0.9256,0.31165
14,-0.554,50,False,94.3,71.3,10.0,3,0.6515,0.14533
15,3.735,50,False,74.9,55.3,10.0,2,0.4585,0.07533
16,0.9,50,False,95.5,73.3,10.0,3,0.3227,0.04293
17,-0.909,50,False,53.3,44.7,10.0,3,0.2271,0.02796
18,-0.011,50,False,55.9,72.3,10.0,2,0.1599,0.01819
19,5.27,30,True,91.0,79.7,0.0,4,0.1295,0.01585
20,-0.393,50,False,81.4,82.2,10.0,3,0.0911,0.01093
21,3.397,31,True,89.1,82.4,10.0,4,0.0733,0.00975
22,1.056,50,False,58.8,86.4,10.0,3,0.0516,0.00813
23,6.87,40,True,84.7,85.6,0.2,4,0.05,0.00771
24,6.609,39,True,87.5,88.2,0.0,4,0.05,0.00801
25,1.443,30,True,100.0,70.3,5.6,4,0.05,0.00609
