metric,value
review_status,blocked_no_beta_data
tester_records,0
invited_testers,0
accepted_testers,0
consent_complete_testers,0
consent_completion_rate,not_available
active_testers,0
completed_testers,0
assignment_records,0
completed_assignments,0
feedback_records,0
issue_records,0
blocker_issue_count,0
high_issue_count,0
safety_privacy_issue_count,0
devices_tested_count,0
exercises_tested_count,0
exercises_tested,none_recorded
upload_success_count,0
upload_failure_count,0
upload_attempts_recorded,0
upload_success_rate,not_available
result_clarity_positive,0
result_clarity_responses,0
result_clarity_rate,not_available
rejected_clarity_positive,0
rejected_clarity_responses,0
rejected_result_clarity_rate,not_available
upload_issue_count,0
network_issue_count,0
auth_token_issue_count,0
issue_severity_distribution,none_recorded
recommendation,Continue Sprint 29B; do not start Sprint 30 review or expand the beta until genuine consented records exist.
