metric,value
number_of_testers,0
number_of_devices,0
number_of_sessions,0
devices_tested,None recorded
exercises_tested,None recorded
upload_success_rate,Not measured
rejected_result_clarity_rate,Not measured
common_issues,None recorded
blocker_high_count,0
safety_privacy_count,0
builds_recorded,1
build_statuses,blocked_not_submitted (1)
blocked_build_count,1
latest_rc_version,0.28.0-rc.1
latest_build_status,blocked_not_submitted
qa_checks_recorded,0
qa_pass_count,0
qa_fail_count,0
qa_blocked_count,0
first_wave_feedback_records,0
first_wave_issue_records,0
second_wave_feedback_records,0
second_wave_issue_records,0
internal_reviewer_records,1
internal_pt_physical_device_reviews,1
recommendation,NO-GO — no completed external beta feedback is available.
