dataset_name,dataset_path,exists,total_file_count,total_size_mb,folder_count,extension_counts,video_count,image_count,csv_count,json_count,txt_count,npy_count,mat_count,xml_count,annotation_candidate_files,sample_files,likely_modality,likely_status,notes
custom_videos,data/raw/custom_videos,True,24,236.318,6,"{"".mp4"": 24}",24,0,0,0,0,0,0,0,"[""custom_videos/squat_unlabeled/unlabeled.mp4""]","[""custom_videos/squat_correct/squat_correct_001.mp4"", ""custom_videos/squat_correct/squat_correct_002.mp4"", ""custom_videos/squat_correct/squat_correct_003.mp4"", ""custom_videos/squat_correct/squat_correct_004.mp4"", ""custom_videos/squat_correct/squat_correct_005.mp4"", ""custom_videos/squat_correct/squat_correct_006.mp4"", ""custom_videos/squat_correct/squat_correct_007.mp4"", ""custom_videos/squat_correct/squat_correct_008.mp4"", ""custom_videos/squat_correct/squat_correct_009.mp4"", ""custom_videos/squat_correct/squat_correct_010.mp4""]",video,potentially_compatible,
dyntherapy,data/raw/dyntherapy,True,1,1.368,0,"{"".csv"": 1}",0,0,1,0,0,0,0,0,"[""dyntherapy/fitness_poses_csvs_out_full_list.csv""]","[""dyntherapy/fitness_poses_csvs_out_full_list.csv""]",skeleton_csv,adapter_required,Do not feed into the squat video pipeline without a dataset-specific adapter.
kimore,data/raw/kimore,True,1,378.543,0,"{"".pkl"": 1}",0,0,0,0,0,0,0,0,[],"[""kimore/kimore_exercise_dataset.pkl""]",skeleton_csv,adapter_required,Do not feed into the squat video pipeline without a dataset-specific adapter.
Physical-therapy exercises,data/raw/Pyhsical-therapy exercises,True,0,0.0,0,{},0,0,0,0,0,0,0,0,[],[],missing,missing_or_incomplete,Folder contains no dataset files beyond placeholders. Canonical name mapped to existing folder `Pyhsical-therapy exercises`.
rehab24_6,data/raw/rehab24_6,True,914,6059.944,35,"{"".csv"": 1, "".mp4"": 130, "".npy"": 780, "".txt"": 3}",130,0,1,0,3,780,0,0,"[""rehab24_6/Segmentation.csv""]","[""rehab24_6/2d_joints/Ex1/PM_000-c17-120fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_000-c17-30fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_000-c18-120fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_000-c18-30fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_001-c17-120fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_001-c17-30fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_001-c18-120fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_001-c18-30fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_002-c17-120fps.npy"", ""rehab24_6/2d_joints/Ex1/PM_002-c17-30fps.npy""]",mixed,adapter_required,Do not feed into the squat video pipeline without a dataset-specific adapter.
squat_kaggle,data/raw/squat_kaggle,True,2,10.74,0,"{"".csv"": 1, "".md"": 1}",0,0,1,0,0,0,0,0,"[""squat_kaggle/README.md"", ""squat_kaggle/squat_features_augmented.csv""]","[""squat_kaggle/README.md"", ""squat_kaggle/squat_features_augmented.csv""]",unknown,adapter_required,Do not feed into the squat video pipeline without a dataset-specific adapter.
uci_physical_therapy_exercises,data/raw/uci_physical_therapy_exercises,True,441,121.441,245,"{"".pdf"": 1, "".txt"": 440}",0,0,0,0,440,0,0,0,"[""uci_physical_therapy_exercises/s1/e1/u1/test.txt"", ""uci_physical_therapy_exercises/s1/e1/u2/test.txt"", ""uci_physical_therapy_exercises/s1/e1/u3/test.txt"", ""uci_physical_therapy_exercises/s1/e1/u4/test.txt"", ""uci_physical_therapy_exercises/s1/e1/u5/test.txt"", ""uci_physical_therapy_exercises/s1/e2/u1/test.txt"", ""uci_physical_therapy_exercises/s1/e2/u2/test.txt"", ""uci_physical_therapy_exercises/s1/e2/u3/test.txt"", ""uci_physical_therapy_exercises/s1/e2/u4/test.txt"", ""uci_physical_therapy_exercises/s1/e2/u5/test.txt"", ""uci_physical_therapy_exercises/s1/e3/u1/test.txt"", ""uci_physical_therapy_exercises/s1/e3/u2/test.txt"", ""uci_physical_therapy_exercises/s1/e3/u3/test.txt"", ""uci_physical_therapy_exercises/s1/e3/u4/test.txt"", ""uci_physical_therapy_exercises/s1/e3/u5/test.txt"", ""uci_physical_therapy_exercises/s1/e4/u1/test.txt"", ""uci_physical_therapy_exercises/s1/e4/u2/test.txt"", ""uci_physical_therapy_exercises/s1/e4/u3/test.txt"", ""uci_physical_therapy_exercises/s1/e4/u4/test.txt"", ""uci_physical_therapy_exercises/s1/e4/u5/test.txt""]","[""uci_physical_therapy_exercises/Description.pdf"", ""uci_physical_therapy_exercises/s1/e1/template_times.txt"", ""uci_physical_therapy_exercises/s1/e1/u1/template_session.txt"", ""uci_physical_therapy_exercises/s1/e1/u1/test.txt"", ""uci_physical_therapy_exercises/s1/e1/u2/template_session.txt"", ""uci_physical_therapy_exercises/s1/e1/u2/test.txt"", ""uci_physical_therapy_exercises/s1/e1/u3/template_session.txt"", ""uci_physical_therapy_exercises/s1/e1/u3/test.txt"", ""uci_physical_therapy_exercises/s1/e1/u4/template_session.txt"", ""uci_physical_therapy_exercises/s1/e1/u4/test.txt""]",sensor_timeseries,adapter_required,Do not feed into the squat video pipeline without a dataset-specific adapter.
uco_physical_rehab,data/raw/uco_physical_rehab,True,0,0.0,0,{},0,0,0,0,0,0,0,0,[],[],missing,missing_or_incomplete,Folder contains no dataset files beyond placeholders.
ui_prmd,data/raw/ui_prmd,True,4,0.996,0,"{"".csv"": 2, "".save"": 2}",0,0,2,0,0,0,0,0,"[""ui_prmd/input.csv"", ""ui_prmd/label.csv""]","[""ui_prmd/input.csv"", ""ui_prmd/label.csv"", ""ui_prmd/sc_x.save"", ""ui_prmd/sc_y.save""]",skeleton_csv,adapter_required,Do not feed into the squat video pipeline without a dataset-specific adapter.
zenodo_squat_dataset,data/raw/zenodo_squat_dataset,True,3806,790.116,8,"{"".jpg"": 3806}",0,3806,0,0,0,0,0,0,[],"[""zenodo_squat_dataset/test/Bad Back/Bad Back (1).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (10).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (100).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (101).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (102).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (103).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (104).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (105).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (106).jpg"", ""zenodo_squat_dataset/test/Bad Back/Bad Back (107).jpg""]",image,adapter_required,
