review_id,image_path,actual_label,predicted_label,confidence,confidence_band,is_error,error_pair,false_negative_for,false_positive_for,source_split,source_dataset,review_status,review_notes
ZR-001,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (10).jpg,bad_back,bad_heel,1.0,high_at_least_0_75,True,bad_back -> bad_heel,bad_back,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-002,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (12).jpg,bad_back,bad_heel,1.0,high_at_least_0_75,True,bad_back -> bad_heel,bad_back,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-003,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (305).jpg,bad_back,bad_heel,1.0,high_at_least_0_75,True,bad_back -> bad_heel,bad_back,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-004,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (320).jpg,bad_back,bad_heel,1.0,high_at_least_0_75,True,bad_back -> bad_heel,bad_back,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-005,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (33).jpg,bad_back,bad_heel,1.0,high_at_least_0_75,True,bad_back -> bad_heel,bad_back,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-006,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (34).jpg,bad_back,bad_heel,1.0,high_at_least_0_75,True,bad_back -> bad_heel,bad_back,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-007,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (118).jpg,bad_back,good,0.994916,high_at_least_0_75,True,bad_back -> good,bad_back,good,test,zenodo_squat_dataset,pending_human_review,
ZR-008,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (117).jpg,bad_back,good,0.993384,high_at_least_0_75,True,bad_back -> good,bad_back,good,test,zenodo_squat_dataset,pending_human_review,
ZR-009,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (113).jpg,bad_back,good,0.987363,high_at_least_0_75,True,bad_back -> good,bad_back,good,test,zenodo_squat_dataset,pending_human_review,
ZR-010,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (114).jpg,bad_back,good,0.980628,high_at_least_0_75,True,bad_back -> good,bad_back,good,test,zenodo_squat_dataset,pending_human_review,
ZR-011,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (112).jpg,bad_back,good,0.974689,high_at_least_0_75,True,bad_back -> good,bad_back,good,test,zenodo_squat_dataset,pending_human_review,
ZR-012,data\raw\zenodo_squat_dataset\test\Bad Back\Bad Back (115).jpg,bad_back,good,0.970309,high_at_least_0_75,True,bad_back -> good,bad_back,good,test,zenodo_squat_dataset,pending_human_review,
ZR-013,data\raw\zenodo_squat_dataset\test\Good\Good (302).jpg,good,bad_heel,0.985651,high_at_least_0_75,True,good -> bad_heel,good,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-014,data\raw\zenodo_squat_dataset\test\Good\Good (296).jpg,good,bad_heel,0.967599,high_at_least_0_75,True,good -> bad_heel,good,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-015,data\raw\zenodo_squat_dataset\test\Good\Good (171).jpg,good,bad_heel,0.96024,high_at_least_0_75,True,good -> bad_heel,good,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-016,data\raw\zenodo_squat_dataset\test\Good\Good (277).jpg,good,bad_heel,0.953368,high_at_least_0_75,True,good -> bad_heel,good,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-017,data\raw\zenodo_squat_dataset\test\Good\Good (165).jpg,good,bad_heel,0.952625,high_at_least_0_75,True,good -> bad_heel,good,bad_heel,test,zenodo_squat_dataset,pending_human_review,
ZR-018,data\raw\zenodo_squat_dataset\test\Good\Good (297).jpg,good,bad_heel,0.940966,high_at_least_0_75,True,good -> bad_heel,good,bad_heel,test,zenodo_squat_dataset,pending_human_review,
